id,domain,capability,evidence,readiness,current_sybilsight,next_gate,risk
R1-137,Health,"Complete 100-sample locomotion autocorrelation descriptors and sixth predicate","When byte56 passes, wrapper56D78 selects magnitude history75..<175. Core5C5F0 computes100 integer autocorrelation lags, strict and plateau peak sets, correlation/spacing/harmonic/crowding/trough tests and outputs indicators at Float indexes8/10. Index11 is4500/third peak; indexes12/13 use parabolic helper74880 and1500/adjusted lag. Shape helper8F4E8 derives turning statistics; four-weight model56920 with constant input8 emits byte61","Firmware-confirmed complete core/wrapper/interpolation/shape/model functions and exact constants; isolated production-Thumb periods12/15/20/25/30/35 plus a square wave match all five Float fields, shape bits/counts and byte61; R1-138...R1-140 close crossing and final classifier composition","Swift adds a bounded pure autocorrelation analyzer with Int32-overflow rejection and integrates it only behind the stock moderate-range gate. Tests compare every Float32 bit for seven fixtures, unavailable cases, byte61 and safety rejection. Parser pins exact ranges/callsites/constants; later rows assemble the full62-byte record. No live memory, engine execution, sensor control or gait label is exposed","Validate autocorrelation fields, byte61 and the composed62-byte record through raw-state, cadence estimators and smoother against controlled owned-ring motion and another firmware revision","High"
R1-138,Health,"Complete 200-sample locomotion crossing descriptors and adaptive interval state","Wrapper56CF4 obtains an eight-slot magnitude baseline and invokes estimator56F94 in two modes. Exact fourth-order fixed-point filters feed centered20/10 and12/6 windows, alternating extrema and same-phase intervals. Mode1 accepts20...50 and uses adaptive helper761F8 with two raw intervals per phase, .6 amplitude/.7 interval similarity, <=2 second difference, <=16 fast-cycle threshold, 90...110% reference, .25/.75 update and70% pruning. Mode2 accepts6.25...25. Quartile dispersion below.3 selects the interquartile mean; rates are restricted to60...240. Downstream7EAF6 counts1200-up/1000-rearm crossings for conditional mode1 half scaling","Firmware-confirmed complete wrapper/estimator/filter/baseline/adaptive/count functions, coefficients and constants; isolated production-Thumb fixtures for every integer sine period8...55 match both Float32 outputs bit-for-bit and the integrated window fixture matches fields4/5. R1-139/R1-140 close the final state/cadence mapping; physical cadence meaning and live acquisition remain unverified","Swift adds bounded R1GoMoreLocomotionCrossingAnalyzer and typed raw/adjusted mode1, mode2, threshold count and half-scale result integrated behind the stock moderate-range gate. Overflow/domain checks reject unsafe histories. The emulator sweeps periods8...55; tests pin every output bit. Parser validates exact ranges/callsites and filter coefficients; later rows integrate final state/cadence. No firmware execution, SRAM reader, sensor control or gait claim is exposed","Compare each feature, raw-state, cadence-estimator and smoother intermediate with controlled owned-ring motion and another firmware revision before exposing locomotion labels or derived steps","High"
R1-139,Health,"Complete final locomotion raw-state, cadence estimation and five-sample smoothing chain","Initializer71188 defines17 bytes as five FE raw states, five zero cadences, five zero preliminary cadences and enabled state1/2 gates. Gate5A40E, tree93DCC, fallback80FF4 and enable57C20 deterministically select raw0/1/2/FF from Float indexes8/10/11/12 and predicate bytes56...61. Estimators58060/57F8C use strict state-specific ranges, <10 adjacent consensus and state1 octave/prior/crossing corrections. Finalizer9413C enforces51...149 or121...219. Smoothers67B24/67A40 use five-sample35/50/80 buckets, signed state majority and exact70AF8 tie behavior. Elapsed2...5 inserts FE/zero; elapsed>=6 clears state/cadence but retains preliminary cadence","Firmware-confirmed complete initializer/classifier/gates/estimators/finalizer/shift/mode/average functions, all ranges and constants. Production Thumb matches five-update state1/100 and state2/150 state bytes, elapsed3 invalid lifecycle, seven estimator triples and varying state2 rates150/170/190/210/130 yielding final0/0/163/167/160. Cadence unit is independently proven steps/minute; physical accuracy and walking/running labels remain unverified","Swift adds validated62-byte R1GoMoreLocomotionFeatureRecord plus bounded Codable R1GoMoreFinalMotionClassifier and public estimator results. It preserves the17-byte state, prior output, long-gap preliminary-history retention, FE/FF semantics and vendor mode-helper edge case. Tests cover decisions, exact histories, gaps, estimator Float bits and high-rate smoothing; parser pins59 ranges/callsite sets/constants. No firmware execution, SRAM reader, sensor control or gait claim is exposed","On an owned consented research ring, capture all62 feature bytes, immediate/final states, preliminary/history cadences, copied output and Step accumulation through controlled rest, walking/running-like cadences, octave ambiguities and gaps0...7. Validate accuracy, sample timing and state1/2 semantics on another firmware before UI labels or HealthKit derived steps","High"
R1-140,Health,"Composed raw-accelerometer to locomotion cadence and stock step-delta pipeline","Production orchestrator5FF94 calls locomotion window5ED14 at60026, final classifier5F4B6 at6007C and step accumulator61198 at6053C in that order; the accumulator loads classifier-result byte+2 as cadence. The existing internal acc callback/common adapter supplies the exact25-Float-per-axis input. One elapsed value flows through all three stages. Empty callbacks retain common filter history while driving downstream invalid/gap state","Firmware-confirmed complete orchestration edges and exact constituent stages; bounded phone-side composition implemented and deterministic/manual composition fixture passes. Live private-topic acquisition, physical gait labels and cross-revision behavior remain capture-gated","Swift adds Codable R1GoMoreCapturedLocomotionPipeline and an audit-rich result containing common input, base features, optional62-byte record, classifier output and step accumulator output. Tests cover exact first filtered samples, warm-up sentinels, independent stage equivalence, empty elapsed2 callback, oversize no-mutation rejection, reset and serialization. No sensor start, SRAM access, firmware execution, health-store write or gait/medical claim is exposed","On an owned consented ring, feed synchronized callback captures through stock internals and SybilSight, compare every intermediate and emitted delta across rest, paced locomotion and gaps0...9, then repeat on another firmware revision before enabling live acquisition or derived-step presentation","High"
R1-141,Health,"Exact daily activity accumulator and composed cumulative-step boundary","Pointer initializer720C8 binds a52-byte state. Accumulator61274 uses day UInt32, sign-extended timezone Int32 and Float32 cumulative step/active/all/distance at offsets0/4/8/C/10/14 with28 reserved bytes. Forward signed-day advance clears all52 state and44 output bytes. Local seconds wrap UInt32 before /86400, so Unix0/timezone-1 yields day49710. Ordered >=0 gates reject negative/NaN but admit +infinity; VCVT.S32.F32 truncates or saturates to Int32.max. Distance adds speed/3600 without elapsed","Firmware-confirmed complete state, reset, local-time, input-gate, conversion and output behavior; isolated production Thumb fixtures match all state/output bits across two ordinary updates, rejected inputs, timezone change, next-day reset, +infinity and unsigned underflow. Physical energy/speed semantics and cross-revision behavior remain capture-gated","Swift adds Codable R1GoMoreDailyActivityAccumulator with lossless52-byte logical state and typed results plus R1GoMoreCapturedDailyActivityPipeline joining raw accelerometer through emitted and cumulative steps while accepting sibling energy/speed explicitly. Tests pin ordinary bits3FC00000/3FA00000/40300000/3A83126E, second-update bits40880000/40700000/40C80000/3B449BA5, reset bits40980000/40100000/40B80000/3B449BA6, saturation, serialization and composition. No sensor, SRAM, persistence, HealthKit or distance-unit claim is exposed","On an owned consented ring, compare accumulator state/output, copied activity record and SybilSight across controlled steps/energy, midnight, timezone changes, clock rollback and reboot; repeat on another firmware before presenting derived cumulative steps or modifying HealthKit behavior","High"
R1-142,Health,"Complete accelerometer-derived SPS speed-candidate state machine","Function5EF1C owns88 bytes with two smoothed values, state2/state1 28-byte model accumulators, latest model values, missing counter and eight-call cooldown. Gate requires raw=smoothed motion, raw!=FF and relative rate/cadence difference strictly below.2. State1 models feature4/height/feature0/feature3 and smooths.15/.85; state2 models height/feature5/feature2 with signed-square-root secondary term and smooths.25/.75. Zeroed checkpoint config uses identity calibration and clamps4...7/6...14; four nonzero-overriding Float words at restored previous-state bytes8...23 can enable affine calibration and widen clamps2...7/6...20. Gaps2...7 replay latest positive model values","Firmware-confirmed complete initializer, state/substate layout, previous-state pointer binding, calibration loader/transform, both primary/secondary models, exact120-byte coefficient table, cadence gate, smoothing, clamps and gap/cooldown behavior. Isolated production Thumb pins state1 primary/secondary405B7980/407DE7F4 and output4, state2 40F3FCC4/40F26628, calibrated outputs7/4181FE62 and exact.2 rejection. Distance unit and cross-revision/physical accuracy remain capture-gated","Swift adds Codable R1GoMoreSPSAccelerometerCandidate, typed result/status/model state, consented exact736-byte calibration-slice decoder and R1GoMoreCapturedAccelerometerSpeedPipeline. Parser now SHA-pins17 ranges,15 callsite sets and all30 coefficient words; two tests cover production bits, state counts, calibration, rejection, pipeline composition and serialization. The API cannot start sensors, read live checkpoints/SRAM, mutate firmware, inject sRef or make sAcc win the stock selector","On an owned consented ring, passively capture synchronized feature record, raw/smoothed state, cadence, restored calibration words, full88-byte state and output across controlled lower/higher-cadence motion, exact gate boundaries, gaps1...8 and reboot/checkpoint cycles. Establish distance unit and compare another firmware revision before presenting speed, pace or distance","High"
R1-143,Health,"Exact internal direct-versus-estimated heart-rate selector","Function605DC logs inhr/enhr and accepts either Float32 only when its raw-bit gate is equivalent to inclusive40...240 bpm. Initialized state0 prefers direct HR, emits quality1/source0; any nonzero state bypasses it. A valid eight-byte enhr HR/quality pair is copied losslessly with source1; neither valid emits HR0/quality0/source40. The nine-byte selected record at engine104 feeds later energy/health stages but is absent from the host copier","Firmware-confirmed complete132-byte selector, eight-byte initializer, state/input/output layout, raw validity constants, direct input ABI, both orchestrator callsites and downstream-only routing. Isolated production Thumb validates exact endpoints, adjacent Float32 rejection, state bypass, arbitrary quality bits, NaN/infinity, unavailable output and ignored elapsed. Engine init zeros enhr and no producer was recovered, so live estimated-HR availability remains unproven","Swift adds Codable R1GoMoreHeartRateSelection, typed source mapping, exact raw-bit validator, pure priority selector and strict health-consented nine-byte capture decoder. A SHA-pinned static parser covers six exact ranges and three callsite sets; tests pin all production fixture bits, unknown-source retention, consent/length gates and serialization. No optical worker, sensor acquisition, SRAM reader, input injection, firmware mutation or health-store write is exposed","On an owned consented ring, capture engine F8...10C plus direct callback input around valid/invalid boundaries, state changes, optical modes, motion and wear transitions. Determine whether any indirect/revision-specific enhr producer exists and correlate quality against public HR confidence before presenting a second HR lane; repeat static audit on another firmware revision","High"
R1-144,Health,"Stock-disabled 828-byte multivariate estimator and copied status correction","Wrapper5FEB8 consumes timing, selected HR, selected SPS, four internal config/sentinel words, three unresolved sentinel words and total energy. Initializer715F8 clears828 state bytes; tail offsets328/32C/330/334/338 hold accumulated elapsed, update count, mode, force-invalid flag and prior-state+24 pointer. Mode0 returns1 untouched; mode1 runs scheduler96E0C/core721B4/status69F80; other nonzero mode increments count without core. Deltas2...15 replay, larger gaps emit Int16 -1027. Status owns only output bytes66...67; a fatal halfword clears all68 bytes","Firmware-confirmed complete wrapper/initializer/scheduler/status helper, input/output/control layout, constants and all callsites. Exhaustive static writer audit finds no post-init writer for mode or force-invalid, so the core is stock-unreachable. Production Thumb validates disabled preservation, nonzero bypass, active zero status, 20-second gap bytesFDFB, force-invalid speed -1 and fatal clear. Engine182/I-O81 is now proven as the copied low status byte, correcting its prior initialization-only classification; stock value remains0 and no host reader exists","Swift adds R1GoMoreDormantEstimatorEvidence, typed mode/control/timing/result models, strict consent-gated828-byte state-tail and68-byte output decoders, exact replay planning and pure status application. Dedicated parser SHA-pins eight ranges/five callsite sets; output ABI/producer maps now distinguish22 compiled writer fields,21 stock runtime fields and five initialization-only fields. No semantic fitness/VO2 label, activation, engine execution, sensor control, SRAM reader, persistence or health claim is exposed","Repeat the writer audit on another official revision and passively capture engine140...183 plus state tail during stock updates to confirm zeros. Only if an owned research build or authenticated vendor path legitimately activates mode1, capture all inputs/state/output across gaps0...16 and decode the opaque66-byte prefix before assigning any metric meaning; never patch live state without an authorized recovery plan","High"
R1-145,Health,"Exact dormant-estimator input ABI and fixed sentinel provenance","The280-byte engine prefix contains unresolved auxiliary Float32 words at14/18/1C fixed to -1/-1/-1; normalized current time at50; internal config words54/58/5C/68 fixed to -999/-999/-999999/0; selected SPS/reciprocal/source atE4/E8/EC; selected HR/quality/source at104/108/10C; and total energy at114. The sentinel groups are not the actual user profile at74...84 and have no post-initializer writer","Firmware-confirmed by full engine initializer71714, input adapter94590, profile converter71E34, complete orchestrator and negative writer audit. Isolated production Thumb validates all seven default Float32 values. Dynamic input semantics reuse independently proven SPS, HR and energy producers; config/auxiliary meanings remain unresolved and the consuming core remains stock-disabled","Swift adds lossless Codable R1GoMoreDormantEstimatorInputSnapshot and strict health-consented exact280-byte decoder with typed HR/SPS source mappings while retaining raw bits. The dormant parser validates literal defaults and distinguishes internal config from the user profile; tests cover consent/length, all offsets/defaults and dynamic fields. No live prefix reader, input injection, activation, semantic metric label or health-store write is exposed","On another official revision, repeat exact initializer/profile/adapter writer audits. Passively capture the prefix on an owned consented ring to confirm dynamic time/HR/SPS/energy and fixed sentinels; only investigate sentinel meaning if a legitimate revision supplies writers or a named output contract","High"
R1-146,Health,"Exact active-only selected-speed filters with aliased history","Core721B4 calls flag-dependent filter908E0 then five-sample average90A50 using the same six Float32 words at state+184. Unflagged sample0 rejects ordered values>=15 without mutation but preserves NaN; updates>=4 average/shift five words and select the average at >=27.690000534 or above15 with rise>=2.900000095. Mask1444 mode limits stored rise by max(0,5.5-previous*.458299994), averages up to six words and uses strict rise selection. The second helper overwrites/averages only words0...4","Firmware-confirmed complete functions, two callsites, call order, shared state, comparisons, constants and mutation rules. A SHA-pinned parser covers10 ranges/seven callsite sets. Direct hard-float production execution validates boundary14/15/16/NaN, isolated histories and seven-update flagged/unflagged output bits; the active parent remains stock-unreachable","Swift adds Codable resettable R1GoMoreDormantEstimatorSpeedFilter and audit result preserving raw/gated/final bits plus shared history. SDK build succeeds and a standalone Swift harness matches all production checkpoints; the focused test source is standalone typechecked and the whole-app simulator build succeeds. No activation, live engine/SRAM/sensor access, physical speed label, persistence or health write is exposed","Repeat exact static comparison on another official revision. Only with a legitimate active build, capture selected SPS, previous/final outputs, flag word, update index and state184...19B on owned hardware; establish unit/meaning before any product presentation","High"
R1-147,Health,"Exact doubly-disabled integer heart-rate filter and raw fallback","Wrapper94270 calls filter70498 with1000ms and state+278, selecting filtered state+1C only for status1. The100-byte filter has enable/seen/equal/streak/count header, missing UInt32, last Int32, average Float32 and20 Float history. It accepts700...1300ms; clamps changes >+6 or <-7; permits3 missing and20 unchanged updates; uses a lagging prefix average then a count19 rolling path that duplicates the newest value in slots18/19; and returns statuses1/1771...1775. Reset5D2EC intentionally retains enable and several counters","Firmware-confirmed complete wrapper/filter/reset, state and return paths, constants and three new callsite sets. Outer initializer clears enable0 and no writer exists, so even mode1 gets inactive1772 and raw HR. Direct production Thumb validates both interval edges, inactive/initial invalid, clamps/boundaries, prefix rounding, missing/unchanged resets,22-update rolling state and raw-vs-filtered wrapper sequences. Parser now pins13 ranges/10 callsite sets","Swift adds Codable R1GoMoreDormantHeartRateFilter, typed lossless result/status, exact partial reset and health-consented100-byte state decoder. SDK and standalone fixtures match production; the focused test source is standalone typechecked and the whole-app simulator build succeeds. No enable sender, outer activation, live HR acquisition, SRAM access, persistence or HealthKit write is exposed","Repeat initializer/writer audit on another official revision. Only on a legitimate active build, capture raw/filtered HR, statuses and state278...2DB through stable, step-change and missing sequences; do not present a second HR lane unless provenance and physical behavior are independently established","High"
R1-148,Health,"Exact flag-gated six-bin selected-speed/HR ratio accumulator","Wrapper94270 calls96634 only when flags&4203=0 and flags&040C!=0. It always updates all-HR mean/count at210/214; signed raw speed bits>40800000 enter six HR-threshold bins94698 as speed/HR. Bin0 uses weight1.22 when state+D=0 or1.32 otherwise. Qualified square-sum/HR-mean/speed-mean/count live at218...224. At count>=30 dispersion>3F7FFFFF resets moments; otherwise allMean<qualifiedMean emits meanSpeed/meanHR into secondary bins228/240, else resets. Primary/secondary bins persist","Firmware-confirmed complete wrapper gate, accumulator, bin helper, exact arrays/offsets, Float order, constants and reset boundaries. Flag word, profile flag and five thresholds are all zero-initialized without writers, making the path stock-unreachable and defaulting positive HR to bin5. Production Thumb validates strict4.0/next-Float boundary, six custom bins, both weights, stable30 mean reset, lower-all-mean secondary route and alternating-HR dispersion reset. Parser pins15 ranges/12 callsite sets","Swift adds Codable R1GoMoreDormantRatioAccumulator/action/result, exact Float32 state machine and health-consented828-byte decoder retaining the complete modeled arrays plus92 opaque overlapping/reserved bytes. SDK and standalone checkpoints match production; focused app test is authored behind the unrelated missing settings view blocker. No semantic fitness/efficiency label, flag/threshold writer, activation, live SRAM/sensor access, persistence or health write is exposed","Repeat all writer and literal audits on another official revision. Only with a legitimately active build, capture flags, thresholds, profile selector, HR, selected speed and state170...257 across below/above4 speed and stable/variable30-sample runs before assigning meaning","High"
R1-149,Health,"Exact per-iteration HR validity latch and zero carry-forward","Core721B4 validates integer HR only while state+60 latch is0 and sample index<30. Inclusive36...249 sets latch1; failure writes Int16-1016 at+52 and returns before downstream processing. After validation, HR0 at index>=1 is replaced by previous selected HR at+20; index0 never carries. Index>=30 skips validation even with latch0. Successful downstream completion copies selected+1C to+20 and clears status","Firmware-confirmed complete gate order, latch/status/selected/previous offsets and boundary asymmetries within the SHA-pinned721B4 range. Isolated production Thumb validates35/36/249/250, zero before/after latch, zero at indexes0/1/30 and latch mutation. Parent mode remains stock-zero/unwritten, so the path is stock-unreachable. Parser remains15 exact ranges/12 callsite sets and now emits the gate contract","Swift adds Codable R1GoMoreDormantHeartRateGateDecision and a pure exact gate helper; SDK and standalone fixtures pass, and the focused test source is standalone typechecked and the whole-app simulator build succeeds. No activation, sensor acquisition, SRAM access, HR injection, persistence, HealthKit write or medical interpretation is exposed","Repeat the exact per-iteration range and state-writer audit on another official revision. Only with a legitimate active build, capture sample index, raw/effective/previous HR, latch and status across boundaries and downstream failures before composing the full dormant core or presenting any derived HR behavior","High"
R1-150,Health,"Exact dormant 32-byte speed smoother with dual slew limits","When flags&1444!=0 core721B4 calls generic helper4C6DC on state+2DC with config+8 and1000ms. Exact enable1, unsigned700...1300 interval and four nonzero Float limits guard processing. Counts0...9 form a prefix mean; later values use input*0.35+prior*0.65. Raw limiting starts when prior count>1 and references the prior unclamped raw input; output has independent rise/fall limits. The output flag is1 when clamped or exactly stable and0 for an ordinary change. Statuses areFFFFFFFF/1389/138A/138B","Firmware-confirmed complete helper, sole callsite,32-byte layout, output/config offsets, guard order, Float constants and flag semantics. Initializer zeroes enable/limits and no writer exists; caller ignores inactive status1389 and retains its pre-zeroed output, while the parent mode/flags are separately unwritten. Production Thumb validates enable2 rejection, interval edges, every zero-limit guard, ten warm-up outputs, first EMA, raw/output clamp boundaries, NaN behavior and untouched secondary output. Parser pins16 ranges/13 callsite sets","Swift adds Codable R1GoMoreDormantSpeedSmoother/status/result, exact mutable Float32 state and strict health-consented32-byte decoder. SDK and standalone production checkpoints pass; the focused test source is standalone typechecked and the whole-app simulator build succeeds. No activation, flag/config writer, live SRAM/sensor access, physical speed unit, persistence or health write is exposed","Repeat range/callsite and state-writer audits on another official revision. Only with a legitimate active build, capture flags, config+8, full state2DC...2FB, status, flag and produced+34 through boundaries and warm-up/EMA transition before composing downstream transforms or assigning physical meaning","High"
R1-151,Health,"Exact dormant speed-dynamics route, veneers and lossless shared state","Core721B4 gives flags&1444 priority: it chooses veneer2938A/target67488 with mode argument1, and bit4 first zeroes primary config+8 before helper4C6DC; the target receives the smoother output. Only when that mask is clear does bit8 choose veneer29382/target6825C with mode0 and alternate config+C directly. Otherwise speed bypasses both. Targets share44 bytes at state+2FC with nine Float words, flags at+24, initialized byte+26 and five opaque tail bytes","Firmware-confirmed complete router, config mutation, two eight-byte veneers, target entries/constants, shared-state boundary and callsites. Initializer zeroes state and flags; no flag writer exists, so both are stock-unreachable. Production Thumb validates no-route/mode0/mode1/zeroing/priority cases, inactive-smoother zero at+34, zero-state target outputs411FFFF7/42100001/4064F92E/0 and negative clamp. Parser pins20 ranges/17 callsite sets. The deeper arithmetic was subsequently closed in R1-152 through R1-161; caller composition is closed in R1-162; physical semantics remain open","Swift adds Codable R1GoMoreDormantSpeedDynamicsRouteDecision and strict consented44-byte snapshot retaining all words/tail. SDK and standalone route fixtures pass; the focused test source is standalone typechecked and the whole-app simulator build succeeds. Target arithmetic is implemented under R1-161 and caller replay under R1-162; this row's router/snapshot still exposes no flags/config writes, live SRAM/sensors, persistence, physical label or health write","Repeat writer/range audit on another revision and require legitimate active-build captures before assigning units or product meaning","High"
R1-152,Health,"Exact 0440-flagged dynamics threshold converter","Helper676E0 computes input/(stateFloat0*(3F0A2728+(abs(input)-2.5)*3E20FBA9)*100)*60, then compares result bits as signed Int32 against Float220 bits435C0000 and caps when greater. VABS affects only the denominator term; original signed input remains the numerator. This creates deliberately nonstandard NaN/infinity/negative behavior","Firmware-confirmed complete function, three callsites, exact arithmetic order/constants and raw comparison. It is called only behind dynamics flags0440; both flags and stateFloat0 initialize zero without writers, so it is stock-unreachable. Production Thumb validates ordinary +/-4, 0/0, +/-1 over zero, both NaN signs and both infinities. Parser pins21 ranges/18 callsite sets","Swift adds exact pure speedDynamicsFlaggedThreshold with sign-cleared magnitude and signed-raw cap; standalone fixtures match all production bits and the focused test source is standalone typechecked and the whole-app simulator build succeeds. No flag/state writer, target execution, sensor/SRAM access, semantic label, persistence or health write is exposed","Repeat the exact function, constants and writer audit on another official revision; require legitimate active-build captures through nonzero-parameter and 0440-flag sequences before naming the state parameter or output","High"
R1-153,Health,"Exact asymmetric Float32 decimal quantizer in dynamics graph","Helper80F88 computes factor=powf(10,Float places). Factor0 returns0. Nonnegative values use value*factor+0.5; negative values use value*factor-0.4 with exact3ECCCCCD. VCVT.S32.F32 then saturates and truncates toward zero, converts back to Float32 and divides by factor. Thus +1.2345 at3 becomes1.235 while -1.2345 becomes-1.234; NaN converts through integer0 and infinities saturate","Firmware-confirmed complete function, six callsites, constants, branch order and conversion behavior. All callers are inside helpers888A0/90C54 of the stock-unreachable dynamics graph. Production Thumb validates +/-down/up/half, zero and negative places, signed zero, both NaNs/infinities, huge finite values and factor underflow. Parser pins22 ranges/19 callsite sets","Swift adds exact pure speedDynamicsDecimalRounded using powf, sign-specific biases and saturating truncation. Standalone fixtures match every production bit and the focused test source is standalone typechecked and the whole-app simulator build succeeds. No UI formatter replacement, target execution, sensor/SRAM access, persistence or health write is exposed","Repeat the exact quantizer range, callsite and constants comparison on another official revision; require legitimate active-build captures before assigning the transform a domain meaning","High"
R1-154,Health,"Exact common dormant speed-dynamics baseline helper","Helper90C54 rejects negative or unordered input; normalizes values below1 while retaining the original as an unflagged output scale; sums exact cubic, calibrated linear and quadratic Float32 terms; quantizes to five places through80F88; clamps nonpositive rounded sums to0; and scales by3F0DD2F2. Flags0440 substitute a state0*3CBD230C calibration through inclusive1.25 and suppress subunit rescaling","Firmware-confirmed complete336-byte function, 12-word literal table and three callers8149A/8897C/88990. Fifteen direct production-Thumb fixtures pin negative, zero/half/one/two with zero and nonzero state, ordinary/flagged modes, exact1.25 and next-Float split, positive NaN and infinity. Parser pins23 ranges/20 callsite sets. Flags and both state parameters are zero-initialized without writers, so stock output remains arithmetic-only/unreachable","Swift adds lossless Codable R1GoMoreDormantSpeedBaselineResult with all intermediate raw Float32 bits and an exact pure speedDynamicsBaseline implementation. Standalone fixtures match every production output and the focused test source is standalone typechecked and the whole-app simulator build succeeds. No activation, state/flag writer, target execution, sensor/SRAM access, persistence, physical label or health write is exposed","Repeat the exact range, callsite, literal and writer comparison on another official revision; require legitimate active-build captures before assigning units or product meaning","High"
R1-155,Health,"Exact shared dormant speed-dynamics reducer and immediate helper graph","Reducer888A0 projects nonzero secondary input through primary/cosf(atanf(secondary/primary)); below primary1 it suppresses secondary magnitudes below twice a state-dependent calibration. The low path combines retained-secondary linear and baseline terms without history mutation. The high path adds power delta, calibrated linear, bounded transformed-change and optional cubic terms, rounds to3 places, writes transformed/power history at+8/+10 and scales by3F0DD2F2","Firmware-confirmed complete500-byte reducer plus helpers69D20/67470/69D80/695A8, all literals, two route-target callers and all internal callsites. Eleven production-Thumb cases pin subunit/unit/superunit, zero/small/near/large secondary, atan/cos projection, secondary suppression, flags0440, mode0/1, rising/falling/stable power and exact history bits. Parser pins28 ranges/25 callsite sets. Parent flags and state parameters are zero/unwritten and physical semantics remain absent","Swift adds lossless Codable R1GoMoreDormantSpeedReducerResult with intermediate raw bits/history outcomes and exact pure speedDynamicsReducer. Standalone output/state fixtures match production and the focused test source is standalone typechecked and the whole-app simulator build succeeds. No activation, input/state writer, target execution, live sensor/SRAM access, persistence, physical metric label or health write is exposed","Repeat the exact reducer graph, range, callsite, literal and writer comparison on another official revision; require legitimate active-build captures before assigning any units or meaning","High"
R1-156,Health,"Exact dormant rational transform, quadratic root writer and nearest-root selector","Helper568AC evaluates input*0.146635*state0*100/(60-input*0.15721*state0*100). Helper6818C computes a quadratic discriminant and roots through powf(x,0.5): negative discriminant or zero A clears root slots0/1; otherwise each nonpositive candidate retains its prior slot; slot2 is untouched. Helper68420 begins with root0 or zero and replaces it with later nonzero roots at lesser or equal binary64-promoted absolute Float32 distance, including captured negative roots","Firmware-confirmed complete functions, literals and six callers/branches. Four rational fixtures include negative ordinary output; five quadratic fixtures pin two positive/negative roots, invalid clearing and stale-slot retention; five selector fixtures pin all-zero, closest, later tie, zero remaining closest and negative-root selection. Parser pins31 ranges/28 callsite sets. Root state exists only in the stock-unreachable zero-initialized dynamics graph with no outside writer or semantic names","Swift adds exact pure speedDynamicsDimensionless, Codable R1GoMoreDormantQuadraticRootsResult/speedDynamicsQuadraticRoots and speedDynamicsClosestRoot. Standalone outputs/state match production and the focused test source is standalone typechecked and the whole-app simulator build succeeds. No activation, root injection, target execution, sensor/SRAM access, persistence, inverse-metric label or health write is exposed","Repeat the exact rational-transform, root-writer, selector and state-writer comparison on another official revision; require legitimate active-build captures before assigning units or presenting inverse results","High"
R1-157,Health,"Exact dormant Cardano-style cubic solver and signed-raw candidate writer","Solver6808C forms Cardano terms, complex square root and cube-root inputs; assembler675DC uses real/principal-complex cube roots, omega rotations and adjusted sums. Candidate writer908AC stores a candidate only when real>=0 and signed Int32(imaginary Float bits)<1E-5 bits. Consequently every negative imaginary value passes regardless of magnitude; real-discriminant root0 also receives exact1E-6 imaginary bias. Failed candidates retain prior slots","Firmware-confirmed complete eight-function graph6808C/675DC/58C7A/58C40/56C2A/77E48/908AC/90EFC, literal blocks and all internal/caller edges. Nine production polynomials pin roots1/2/3, -1/0/1, +/-single roots, repeated2, roots1/2/4, roots0.5/3/5, one-real/two-complex and coefficient scaling; captured complex candidates expose the signed-imaginary quirk. Parser pins39 ranges/36 callsite sets","Swift adds Codable R1GoMoreDormantCubicRootsResult retaining coefficients/discriminant/candidate real+imaginary/final slots and exact speedDynamicsCubicRoots. Production phase reduction/trig polynomials avoid host-libm one-ULP drift; standalone candidate/root bits match all fixtures and the focused test source is standalone typechecked and the whole-app simulator build succeeds. No activation, root injection, target execution, SRAM/sensor access, persistence, physical label or health write is exposed","Repeat the exact cubic graph, literal and writer audit on another official revision; require legitimate active-build captures before any domain naming or presentation","High"
R1-158,Health,"Exact dormant speed-dynamics coefficient and root builder","Builder68D18 derives two shared state/auxiliary coefficients and a primary-adjusted constant in exact Float32 order. Mode0 invokes quadratic writer6818C with those three coefficients; every nonzero mode prepends fixed3E1704FF and invokes cubic solver6808C. Solver-specific failed/nonpositive candidates retain or clear their documented root slots","Firmware-confirmed complete176-byte function, six-word literal table and sole finalizer callsites81466/814B4. Six production-Thumb fixtures pin mode0/nonzero dispatch, ordinary and zero primary, zero-state partial clearing with root2 retained, small-auxiliary positive cubic root and every coefficient/root bit. Parser pins40 ranges/37 callsite sets. Both state parameters and the outer estimator remain zero-initialized/unreachable and input semantics are absent","Swift adds Codable R1GoMoreDormantRootBuilderResult retaining input/coefficient/initial/final raw bits and exact speedDynamicsBuildRoots. Standalone fixtures match production and the focused test source is standalone typechecked and the whole-app simulator build succeeds. No activation, arbitrary root injection, parent-finalizer execution, sensor/SRAM access, persistence, physical label or health write is exposed","Repeat the exact coefficient/root builder graph, literal and writer audit on another official revision; require legitimate active-build captures before any domain naming or presentation","High"
